State Code,State Name,Year,Unemployment Rate,Alcohol Consumption,Health Status,"Cancer cases per 100,000 persons",Life Expectancy
CZE,Czechia,2012,6.975000000000,11.60000000,,293.80000000,
DEU,Germany,2012,5.058333333333,11.30000000,,283.80000000,
DNK,Denmark,2012,7.791666666667,9.80000000,,338.10000000,
EA20,Euro area (20 countries),2012,11.508333333333,,,,
ESP,Spain,2012,24.800000000000,9.40000000,,249.00000000,
EST,Estonia,2012,9.891666666667,12.10000000,,242.80000000,
EU27_2020,European Union (27 countries from 01/02/2020),2012,11.058333333333,,,,
FIN,Finland,2012,7.825000000000,9.30000000,,256.80000000,
FRA,France,2012,9.766666666667,12.20000000,,303.50000000,
G7,G7,2012,7.354289333333,,,,
GBR,United Kingdom,2012,7.991666666667,9.60000000,,272.90000000,
GRC,Greece,2012,24.833333333333,7.60000000,,163.00000000,
HRV,Croatia,2012,,10.60000000,,,
HUN,Hungary,2012,10.575000000000,11.10000000,,285.40000000,
IDN,Indonesia,2012,,0.10000000,,133.50000000,
IND,India,2012,,3.00000000,,94.00000000,
IRL,Ireland,2012,15.491666666667,11.50000000,,307.90000000,
ISL,Iceland,2012,6.716666666667,6.80000000,,284.30000000,
ISR,Israel,2012,6.874125916667,2.90000000,,283.20000000,
ITA,Italy,2012,10.908333333333,7.50000000,,278.60000000,
JPN,Japan,2012,4.325000000000,7.20000000,,217.10000000,
KOR,Korea,2012,3.200000000000,9.00000000,,307.80000000,
LTU,Lithuania,2012,13.400000000000,14.70000000,,251.90000000,
LUX,Luxembourg,2012,5.083333333333,11.80000000,,280.30000000,
LVA,Latvia,2012,15.025000000000,10.20000000,,246.80000000,
MEX,Mexico,2012,4.953842750000,3.90000000,,131.50000000,
NLD,Netherlands,2012,6.825000000000,9.10000000,,304.80000000,
NOR,Norway,2012,3.475000000000,6.20000000,,318.30000000,
NZL,New Zealand,2012,,9.20000000,,295.00000000,
OECD,OECD,2012,8.105709000000,,,,
PER,Peru,2012,,5.40000000,,,
POL,Poland,2012,10.400000000000,10.20000000,,229.60000000,
PRT,Portugal,2012,16.591666666667,9.80000000,,246.20000000,
ROU,Romania,2012,,9.70000000,,,
RUS,Russia,2012,,14.80000000,,204.30000000,
SVK,Slovak Republic,2012,13.916666666667,10.10000000,,276.90000000,
SVN,Slovenia,2012,8.866666666667,11.00000000,,296.30000000,
SWE,Sweden,2012,8.150000000000,7.20000000,,270.00000000,
TUR,T??rkiye,2012,8.408333333333,1.60000000,,205.10000000,
USA,United States,2012,8.075000000000,8.90000000,,318.00000000,
ZAF,South Africa,2012,,7.20000000,,187.10000000,
ARG,Argentina,2013,,8.30000000,,,
AUS,Australia,2013,5.667657000000,9.90000000,,,
AUT,Austria,2013,5.725000000000,11.90000000,,,
BEL,Belgium,2013,8.575000000000,10.30000000,,,
BGR,Bulgaria,2013,,10.30000000,,,
BRA,Brazil,2013,,8.30000000,,,
CAN,Canada,2013,7.175000000000,8.20000000,,,
CHE,Switzerland,2013,,9.30000000,,,
CHL,Chile,2013,6.129195250000,7.20000000,,,
CHN,China (People???s Republic of),2013,,5.60000000,,,
COL,Colombia,2013,9.734884000000,4.30000000,,,
CRI,Costa Rica,2013,9.496176583333,3.10000000,,,
CZE,Czechia,2013,6.966666666667,11.50000000,,,
DEU,Germany,2013,4.941666666667,11.10000000,,,
DNK,Denmark,2013,7.366666666667,10.00000000,,,
EA20,Euro area (20 countries),2013,12.141666666667,,,,
ESP,Spain,2013,26.108333333333,9.20000000,,,
EST,Estonia,2013,8.491666666667,11.90000000,,,
EU27_2020,European Union (27 countries from 01/02/2020),2013,11.575000000000,,,,
FIN,Finland,2013,8.283333333333,9.10000000,,,
FRA,France,2013,10.308333333333,11.60000000,,,
G7,G7,2013,7.084210000000,,,,
GBR,United Kingdom,2013,7.608333333333,9.40000000,,,
GRC,Greece,2013,27.816666666667,7.60000000,,,
HRV,Croatia,2013,,10.40000000,,,
HUN,Hungary,2013,9.541666666667,10.60000000,,,
IDN,Indonesia,2013,,0.10000000,,,
IND,India,2013,,3.00000000,,,
IRL,Ireland,2013,13.758333333333,10.60000000,,,
ISL,Iceland,2013,5.891666666667,6.80000000,,,
ISR,Israel,2013,6.205657250000,2.90000000,,,
ITA,Italy,2013,12.350000000000,7.40000000,,,
JPN,Japan,2013,4.008333333333,7.40000000,,,
KOR,Korea,2013,3.100000000000,8.70000000,,,
LTU,Lithuania,2013,11.800000000000,14.50000000,,,
LUX,Luxembourg,2013,5.833333333333,11.40000000,,,
LVA,Latvia,2013,11.866666666667,10.40000000,,,
MEX,Mexico,2013,4.929322166667,3.80000000,,,
NLD,Netherlands,2013,8.200000000000,8.70000000,,,
NOR,Norway,2013,3.941666666667,6.20000000,,,
NZL,New Zealand,2013,,9.20000000,,,
OECD,OECD,2013,8.012323583333,,,,
PER,Peru,2013,,5.30000000,,,
POL,Poland,2013,10.608333333333,10.80000000,,,
PRT,Portugal,2013,17.158333333333,9.50000000,,,
ROU,Romania,2013,,9.70000000,,,
RUS,Russia,2013,,14.10000000,,,
SVK,Slovak Republic,2013,14.166666666667,9.90000000,,,
SVN,Slovenia,2013,10.116666666667,9.50000000,,,
SWE,Sweden,2013,8.200000000000,7.30000000,,,
TUR,T??rkiye,2013,9.050000000000,1.40000000,,,
USA,United States,2013,7.358333333333,8.80000000,,,
ZAF,South Africa,2013,,7.20000000,,,
ARG,Argentina,2014,,7.90000000,,,
AUS,Australia,2014,6.062902166667,9.70000000,,,
AUT,Austria,2014,6.033333333333,12.20000000,,,
BEL,Belgium,2014,8.650000000000,10.60000000,,,
BGR,Bulgaria,2014,,10.30000000,,,
BRA,Brazil,2014,,9.20000000,,,
CAN,Canada,2014,7.033333333333,8.00000000,,,
CHE,Switzerland,2014,,9.10000000,,,
CHL,Chile,2014,6.420370916667,7.90000000,,,
CHN,China (People???s Republic of),2014,,5.70000000,,,
COL,Colombia,2014,9.194866000000,4.20000000,,,
CRI,Costa Rica,2014,9.580814000000,3.20000000,,,
CZE,Czechia,2014,6.133333333333,11.90000000,,,
DEU,Germany,2014,4.716666666667,11.10000000,,,
DNK,Denmark,2014,6.916666666667,10.10000000,,,
EA20,Euro area (20 countries),2014,11.725000000000,,,,
ESP,Spain,2014,24.450000000000,9.50000000,,,
EST,Estonia,2014,7.316666666667,11.10000000,,,
EU27_2020,European Union (27 countries from 01/02/2020),2014,11.000000000000,,,,
FIN,Finland,2014,8.783333333333,8.80000000,,,
FRA,France,2014,10.266666666667,12.00000000,,,
G7,G7,2014,6.361628583333,,,,
GBR,United Kingdom,2014,6.216666666667,9.40000000,,,
GRC,Greece,2014,26.641666666667,7.10000000,,,
HRV,Croatia,2014,,9.50000000,,,
HUN,Hungary,2014,7.475000000000,10.90000000,,,
IDN,Indonesia,2014,,0.10000000,,,
IND,India,2014,,3.00000000,,,
IRL,Ireland,2014,11.891666666667,10.80000000,,,
