ref_area_code,time_period,obs_value
TUR,2023-02-01,10.00000000
TUR,2023-03-01,10.00000000
TUR,2023-04-01,10.00000000
TUR,2023-05-01,9.50000000
TUR,2023-06-01,9.50000000
TUR,2023-07-01,9.40000000
TUR,2023-08-01,9.20000000
TUR,2023-09-01,9.10000000
TUR,2023-10-01,8.60000000
TUR,2023-11-01,9.00000000
TUR,2023-12-01,8.80000000
TUR,2024-01-01,9.00000000
TUR,2024-02-01,8.70000000
