name,average_alcohol_consumption,average_life_expectancy
Russia,13.340000000000,72.340000000000
Lithuania,13.075000000000,75.387500000000
France,11.641666666667,82.575000000000
Czechia,11.633333333333,78.737500000000
Austria,11.616666666667,81.537500000000
Luxembourg,11.480000000000,82.512500000000
Germany,11.090000000000,80.962500000000
Estonia,10.991666666667,78.275000000000
Latvia,10.916666666667,74.850000000000
Hungary,10.858333333333,75.850000000000
